30.04.2017 2124:10:28-722:
alpha,1,2,3,4,5,6,7
307,305,305,355,355,355,355,355
308,305,305,355,355,355,355,355
309,305,305,355,355,355,355,355
310,305,305,355,355,355,355,355
311,305,305,355,355,355,355,355
312,305,305,355,355,355,355,355
313,305,305,355,355,355,355,355
314,305,305,355,355,355,355,355
315,305,305,355,355,355,355,355
316,305,305,355,355,355,355,355
317,305,305,355,355,355,355,355
318,305,305,355,355,355,355,355
319,305,305,355,355,355,355,355
320,305,305,355,355,355,355,355
321,305,305,355,355,355,355,355
322,305,305,355,355,355,355,355
323,305,305,355,355,355,355,355
324,305,305,355,355,355,355,355
325,305,305,355,355,355,355,355
326,305,305,355,355,355,355,355
327,305,305,355,355,355,355,355
328,305,305,355,355,355,355,355
329,305,305,355,355,355,355,355
330,305,305,355,355,355,355,355
331,305,305,355,355,355,355,355
332,305,305,355,355,355,355,355
333,305,305,355,355,355,355,355
334,305,305,355,355,355,355,355
335,305,305,355,355,355,355,355
336,305,305,355,355,355,355,355
337,305,305,355,355,355,355,355
338,305,305,355,355,355,355,355
339,305,305,355,355,355,355,355
340,305,305,355,355,355,355,355
341,305,305,355,355,355,355,355
342,305,305,355,355,355,355,355
343,305,305,355,355,355,355,355
344,305,433,433,433,433,433,433
345,305,433,433,433,433,433,433
346,305,433,433,433,433,433,433
347,305,433,433,433,433,433,433
348,305,433,433,433,433,433,433
349,305,433,433,433,433,433,433
350,305,433,433,433,433,433,433
351,305,433,433,433,433,433,433
352,305,433,433,433,433,433,433
353,305,433,433,433,433,433,433
354,305,433,433,433,433,433,433
355,305,433,433,433,433,433,433
356,305,433,433,433,433,433,433
357,305,433,433,433,433,433,433
358,305,433,433,433,433,433,433
359,305,433,433,433,433,433,433
360,305,433,433,433,433,433,433
361,305,433,433,433,433,433,433
362,305,433,433,433,433,433,433
363,305,433,433,433,433,433,433
364,305,433,433,433,433,433,433
365,305,433,433,433,433,433,433
366,305,433,433,433,433,433,433
367,305,433,433,433,433,433,433
368,305,433,433,433,433,433,433
369,305,433,433,433,433,433,433
370,305,433,433,433,433,433,433
371,305,433,433,433,433,433,433
372,305,433,433,433,433,433,433
373,305,433,433,433,433,433,433
374,305,433,433,433,433,433,433
375,305,433,433,433,433,433,433
376,305,433,433,433,433,433,433
377,305,433,433,433,433,433,433
378,305,433,433,433,433,433,433
379,305,433,433,433,433,433,433
380,305,433,433,433,433,433,433
381,305,433,433,433,433,433,433
382,305,433,433,433,433,433,433
383,305,433,433,433,433,433,433
384,305,433,433,433,433,433,433
385,305,433,433,433,433,433,433
386,305,433,433,433,433,433,433
387,305,433,433,433,433,433,433
388,305,433,433,433,433,433,433
389,305,433,433,433,433,433,433
390,305,433,433,433,433,433,433
391,305,433,433,433,433,433,433
392,305,433,433,433,433,433,433
393,305,433,433,433,433,433,433
394,305,433,433,433,433,433,433
395,305,433,433,433,433,433,433
396,305,433,433,433,433,433,433
